Original first level,Original second level,Original third level,NLP Type,NLP first level,NLP second level,NLP third level,NLP fourth level,mapped_nlp
freedom of expression and opinion,interference with the media,,Sector,Protection,Civil and political rights,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Civil and political rights']"
restriction of freedom of expression and association,restriction on freedom of media,,Sector,Protection,Civil and political rights,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Civil and political rights']"
restriction of freedom of opinion and expression,violations of freedom of the media,,Sector,Protection,Civil and political rights,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Civil and political rights']"
democratic elections,denial of right to vote,,Sector,Protection,Civil and political rights,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Civil and political rights']"
democratic space,"repression of hrds, civil society and opposition",,Sector,Protection,Civil and political rights,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Civil and political rights']"
freedom of association and assembly,denial of peaceful assembly,,Sector,Protection,Civil and political rights,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Civil and political rights']"
freedom of association and assembly,denial of right to form and join associations,,Sector,Protection,Civil and political rights,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Civil and political rights']"
freedom of association and assembly,interference with associations,,Sector,Protection,Civil and political rights,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Civil and political rights']"
freedom of association and assembly,other violations of the right to assembly and association,,Sector,Protection,Civil and political rights,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Civil and political rights']"
freedom of expression and opinion,censorship,,Sector,Protection,Civil and political rights,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Civil and political rights']"
freedom of expression and opinion,"hate speech and incitement to national, racial or religious hatred",,Sector,Protection,Civil and political rights,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Civil and political rights']"
freedom of expression and opinion,undue restriction of freedom of expression,,Sector,Protection,Civil and political rights,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Civil and political rights']"
freedom of expression and opinion,undue restriction of freedom of opinion,,Sector,Protection,Civil and political rights,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Civil and political rights']"
habitabilidad,conocimiento de derechos,,Sector,Protection,Civil and political rights,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Civil and political rights']"
international covenant on civil and political rights,other civil rights,,Sector,Protection,Civil and political rights,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Civil and political rights']"
international covenant on civil and political rights,political rights,,Sector,Protection,Civil and political rights,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Civil and political rights']"
non-discrimination,non-discrimination in exercising of political rights and fundamental freedoms,,Sector,Protection,Civil and political rights,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Civil and political rights']"
non-discrimination,non-discrimination in voting-registration,,Sector,Protection,Civil and political rights,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Civil and political rights']"
non-discrimination,"non-discrimination of electoral management towards any candidates, members of political parties, voters or else",,Sector,Protection,Civil and political rights,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Civil and political rights']"
pro,derechos civiles y políticos,,Sector,Protection,Civil and political rights,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Civil and political rights']"
protection,civil and political rights,,Sector,Protection,Civil and political rights,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Civil and political rights']"
"restriction of freedom of assembly, movement and association",denial of right of peaceful assembly,,Sector,Protection,Civil and political rights,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Civil and political rights']"
"restriction of freedom of assembly, movement and association",denial of the right to form and join associations,,Sector,Protection,Civil and political rights,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Civil and political rights']"
restriction of freedom of expression and association,forced to attend meetings/ rallies/ protests,,Sector,Protection,Civil and political rights,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Civil and political rights']"
restriction of freedom of expression and association,"hate speech (incitement, discrimination)",,Sector,Protection,Civil and political rights,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Civil and political rights']"
restriction of freedom of expression and association,restriction on freedom of expression,,Sector,Protection,Civil and political rights,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Civil and political rights']"
restriction of freedom of opinion and expression,violations of freedom    of expression,,Sector,Protection,Civil and political rights,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Civil and political rights']"
right to political participation,access to information,,Sector,Protection,Civil and political rights,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Civil and political rights']"
right to political participation,other violations of the right to participation,,Sector,Protection,Civil and political rights,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Civil and political rights']"
right to political participation,to be elected without discrimination,,Sector,Protection,Civil and political rights,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Civil and political rights']"
right to political participation,vote without discrimination,,Sector,Protection,Civil and political rights,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Civil and political rights']"
international covenant on civil and political rights,right to family life,,Sector,Protection,Civil and political rights,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Civil and political rights']"
international covenant on civil and political rights,right to liberty,,Sector,Protection,Civil and political rights,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Civil and political rights']"
international covenant on civil and political rights,"right to life, physical and mental integrity",,Sector,Protection,Civil and political rights,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Civil and political rights']"
"restriction of freedom of assembly, movement and association",other,,Sector,Protection,Civil and political rights,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Civil and political rights']"
restriction of freedom of expression and association,other,,Sector,Protection,Civil and political rights,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Civil and political rights']"
restriction of freedom of opinion and expression,other,,Sector,Protection,Civil and political rights,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Civil and political rights']"
international covenant on civil and political rights,"civil status, registration, documentation",,Sector,Protection,Documentation,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Documentation']"
pro,documentación,,Sector,Protection,Documentation,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Documentation']"
protección legal,documentación,,Sector,Protection,Documentation,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Documentation']"
protection,documentation,,Sector,Protection,Documentation,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Documentation']"
protection,registration and documentation,,Sector,Protection,Documentation,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Documentation']"
protection concerns,access to civil and personal documentation,,Sector,Protection,Documentation,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Documentation']"
protection concerns,access to registration and documentation,,Sector,Protection,Documentation,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Documentation']"
displacement & migration,forced relocation of parts of the population,,Sector,Protection,Freedom of movement,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Freedom of movement']"
displacement & migration,restrictions on freedom of movement,,Sector,Protection,Freedom of movement,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Freedom of movement']"
freedom of movement,arbitrary deportation,,Sector,Protection,Freedom of movement,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Freedom of movement']"
freedom of movement,forced displacement or resettlement,,Sector,Protection,Freedom of movement,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Freedom of movement']"
freedom of movement,freedom of movement,,Sector,Protection,Freedom of movement,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Freedom of movement']"
freedom of movement,other,,Sector,Protection,Freedom of movement,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Freedom of movement']"
freedom of movement,other violations to right to freedom of movement,,Sector,Protection,Freedom of movement,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Freedom of movement']"
freedom of movement,,,Sector,Protection,Freedom of movement,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Freedom of movement']"
international covenant on civil and political rights,freedom of movement,,Sector,Protection,Freedom of movement,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Freedom of movement']"
international refugee law,refoulement,,Sector,Protection,Freedom of movement,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Freedom of movement']"
pro,libertad de movimiento,,Sector,Protection,Freedom of movement,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Freedom of movement']"
protection,freedom of movement,,Sector,Protection,Freedom of movement,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Freedom of movement']"
protection concerns,freedom of movement,,Sector,Protection,Freedom of movement,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Freedom of movement']"
"food security, agriculture & land",land right issues,,Sector,Protection,Housing land and property,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Housing land and property']"
hlp,barriers to returning to place of origin,,Sector,Protection,Housing land and property,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Housing land and property']"
hlp,conditions that increase risk of losing hlp rights,,Sector,Protection,Housing land and property,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Housing land and property']"
hlp,dispute resolution mechanisms,,Sector,Protection,Housing land and property,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Housing land and property']"
hlp,possession of documentation/evidence,,Sector,Protection,Housing land and property,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Housing land and property']"
pro,derechos de propiedad,,Sector,Protection,Housing land and property,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Housing land and property']"
protection,hlp,,Sector,Protection,Housing land and property,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Housing land and property']"
protection,housing land and property,,Sector,Protection,Housing land and property,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Housing land and property']"
protection,"housing, land and property (hlp)",,Sector,Protection,Housing land and property,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Housing land and property']"
protection concerns,hlp rights,,Sector,Protection,Housing land and property,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Housing land and property']"
"restriction of freedom of assembly, movement and association",forced evictions,,Sector,Protection,Housing land and property,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Housing land and property']"
shelter,housing land and property,,Sector,Protection,Housing land and property,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Housing land and property']"
violations of social and economic rights,access to land,,Sector,Protection,Housing land and property,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Housing land and property']"
"international covenant on economic, social and cultural rights","housing, land and property",,Sector,Protection,Housing land and property,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Housing land and property']"
protection,human rights,,Sector,Protection,Human rights,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Human rights']"
protection,human rights violations,,Sector,Protection,Human rights,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Human rights']"
justice & rule of law,national legal framework lacks adequate protections,,Sector,Protection,Justice and rule of law,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Justice and rule of law']"
justice & rule of law,security related legislation with inadequate human rights guarantees,,Sector,Protection,Justice and rule of law,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Justice and rule of law']"
"legal, constitutional and institutional developments",non-implementation of court decisions/ orders,,Sector,Protection,Justice and rule of law,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Justice and rule of law']"
"legal, constitutional and institutional developments",selective application of laws,,Sector,Protection,Justice and rule of law,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Justice and rule of law']"
violations of the legislative and policy matters,judiciary fair and independent,,Sector,Protection,Justice and rule of law,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Justice and rule of law']"
violations of the legislative and policy matters,non-implementation of    laws,,Sector,Protection,Justice and rule of law,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Justice and rule of law']"
violations of the legislative and policy matters,non-implementation of court decisions/ orders,,Sector,Protection,Justice and rule of law,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Justice and rule of law']"
habitabilidad,acceso justo y seguridad legal,,Sector,Protection,Justice and rule of law,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Justice and rule of law']"
impunity and accountability,access to justice for marginalized groups,,Sector,Protection,Justice and rule of law,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Justice and rule of law']"
international covenant on civil and political rights,access to justice,,Sector,Protection,Justice and rule of law,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Justice and rule of law']"
justice & rule of law,a lack of confidence in justice / protection systems,,Sector,Protection,Justice and rule of law,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Justice and rule of law']"
justice & rule of law,absence of accountability processes for past violations,,Sector,Protection,Justice and rule of law,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Justice and rule of law']"
justice & rule of law,intrusive surveillance or unlawful inspections,,Sector,Protection,Justice and rule of law,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Justice and rule of law']"
pro,estado de derecho y justicia,,Sector,Protection,Justice and rule of law,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Justice and rule of law']"
protección legal,acceso a justicia,,Sector,Protection,Justice and rule of law,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Justice and rule of law']"
protection,justice and rule of law,,Sector,Protection,Justice and rule of law,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Justice and rule of law']"
violations of liberty and   security of persons,legal assistance and access to a lawyer,,Sector,Protection,Justice and rule of law,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Justice and rule of law']"
"violations of the right to an effective remedy
and to a fair trial",amnesty covering human rights abuses,,Sector,Protection,Justice and rule of law,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Justice and rule of law']"
"violations of the right to an effective remedy
and to a fair trial",equity before courts and tribunals,,Sector,Protection,Justice and rule of law,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Justice and rule of law']"
"violations of the right to an effective remedy
and to a fair trial",failure to investigate,,Sector,Protection,Justice and rule of law,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Justice and rule of law']"
"violations of the right to an effective remedy
and to a fair trial","hearing by a competent, independent and impartial tribunal",,Sector,Protection,Justice and rule of law,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Justice and rule of law']"
"violations of the right to an effective remedy
and to a fair trial",reparation from harm suffered,,Sector,Protection,Justice and rule of law,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Justice and rule of law']"
"violations of the right to an effective remedy
and to a fair trial",right to be informed promptly of the nature and case of the charge,,Sector,Protection,Justice and rule of law,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Justice and rule of law']"
"violations of the right to an effective remedy
and to a fair trial",trial without undue delay,,Sector,Protection,Justice and rule of law,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Justice and rule of law']"
displacement & migration,arbitrary / prolonged detention of migrants,,Sector,Protection,Liberty,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Liberty']"
freedom from fear and violence,enforced disappearance,,Sector,Protection,Liberty,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Liberty']"
freedom from fear and violence,excessive use of force,,Sector,Protection,Liberty,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Liberty']"
freedom from fear and violence,extrajudicial execution or killing,,Sector,Protection,Liberty,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Liberty']"
justice & rule of law,enforced disapearances / abductions,,Sector,Protection,Liberty,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Liberty']"
justice & rule of law,excessive use of force / killings by security forces,,Sector,Protection,Liberty,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Liberty']"
justice & rule of law,policies or practices of impunity for violations committed by the police,,Sector,Protection,Liberty,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Liberty']"
justice & rule of law,the use of torture by security forces / state agents,,Sector,Protection,Liberty,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Liberty']"
liberty and   personal security,arbitrary detention,,Sector,Protection,Liberty,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Liberty']"
liberty and   personal security,arbitrary police searches/ raids,,Sector,Protection,Liberty,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Liberty']"
liberty and   personal security,arbitrary/ unlawful arrest,,Sector,Protection,Liberty,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Liberty']"
liberty and   personal security,enforced disappearances/ abductions,,Sector,Protection,Liberty,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Liberty']"
liberty and   personal security,other,,Sector,Protection,Liberty,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Liberty']"
medios de vida,explotación laboral,,Sector,Protection,Liberty,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Liberty']"
pro,trata de personas,,Sector,Protection,Liberty,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Liberty']"
protection,liberty,,Sector,Protection,Liberty,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Liberty']"
protection,liverty,,Sector,Protection,Liberty,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Liberty']"
"right to life, physical and mental integrity",deaths in police/ military custody,,Sector,Protection,Liberty,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Liberty']"
"right to life, physical and mental integrity",excessive use of  force by national security services,,Sector,Protection,Liberty,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Liberty']"
"right to life, physical and mental integrity",extrajudicial killings/ executions,,Sector,Protection,Liberty,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Liberty']"
"right to life, physical and mental integrity",harassment and intimidation,,Sector,Protection,Liberty,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Liberty']"
"right to life, physical and mental integrity",ill treatment and torture,,Sector,Protection,Liberty,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Liberty']"
"right to life, physical and mental integrity",violent assault,,Sector,Protection,Liberty,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Liberty']"
security forces conduct,arbitrary arrest,,Sector,Protection,Liberty,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Liberty']"
security forces conduct,arbitrary detention,,Sector,Protection,Liberty,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Liberty']"
security forces conduct,enforced disappearances,,Sector,Protection,Liberty,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Liberty']"
security forces conduct,excessive use of force,,Sector,Protection,Liberty,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Liberty']"
security forces conduct,extrajudicial execution,,Sector,Protection,Liberty,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Liberty']"
security forces conduct,lack of due process,,Sector,Protection,Liberty,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Liberty']"
violations of liberty and   security of persons,arbitrary arrest,,Sector,Protection,Liberty,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Liberty']"
violations of liberty and   security of persons,arbitrary detention,,Sector,Protection,Liberty,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Liberty']"
violations of liberty and   security of persons,arbitrary police searches/ raids,,Sector,Protection,Liberty,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Liberty']"
violations of the right to life and physical and mental integrity,deaths in custody,,Sector,Protection,Liberty,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Liberty']"
violations of the right to life and physical and mental integrity,enforced disappearances and abductions,,Sector,Protection,Liberty,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Liberty']"
violations of the right to life and physical and mental integrity,excessive or disproportionate use of    force by representatives of the law,,Sector,Protection,Liberty,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Liberty']"
violations of the right to life and physical and mental integrity,extrajudicial execution    or killing,,Sector,Protection,Liberty,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Liberty']"
pro,libertad,,Sector,Protection,Liberty,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Liberty']"
humanitarian access,presence of mines/uxo,,Sector,Protection,Mines,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Mines']"
humanitarian access,presencia de minas antipersonales (map) y municiones sin explotar (muse),,Sector,Protection,Mines,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Mines']"
emergency works,mine action,,Sector,Protection,Mines,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Mines']"
protection,mine action,,Sector,Protection,Mines,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Mines']"
protection,mine and uxos,,Sector,Protection,Mines,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Mines']"
protection,mines,,Sector,Protection,Mines,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Mines']"
protection,mines and uxos,,Sector,Protection,Mines,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Mines']"
democratic space,tolerance or incitement by authorities of intimidation or violence,,Sector,Protection,Physical safety and security,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Physical safety and security']"
displacement & migration,hate speech / crimes targeting migrants,,Sector,Protection,Physical safety and security,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Physical safety and security']"
freedom from fear and violence,other violations of physical and mental integrity,,Sector,Protection,Physical safety and security,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Physical safety and security']"
habitabilidad,seguridad e integridad en la comunidad,,Sector,Protection,Physical safety and security,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Physical safety and security']"
injury,,,Sector,Protection,Physical safety and security,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Physical safety and security']"
pro,seguridad y protección física,,Sector,Protection,Physical safety and security,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Physical safety and security']"
protección legal,seguridad e integridad física,,Sector,Protection,Physical safety and security,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Physical safety and security']"
protection,physical safety and security,,Sector,Protection,Physical safety and security,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Physical safety and security']"
protection,safety and security,,Sector,Protection,Physical safety and security,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Physical safety and security']"
protection concerns,physical security,,Sector,Protection,Physical safety and security,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Physical safety and security']"
security forces conduct,intimidation harassment,,Sector,Protection,Physical safety and security,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Physical safety and security']"
security forces conduct,torture,,Sector,Protection,Physical safety and security,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Physical safety and security']"
victim of crime,,,Sector,Protection,Physical safety and security,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Physical safety and security']"
violations of the right to life and physical and mental integrity,death threats,,Sector,Protection,Physical safety and security,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Physical safety and security']"
violations of the right to life and physical and mental integrity,harassment and intimidation,,Sector,Protection,Physical safety and security,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Physical safety and security']"
violations of the right to life and physical and mental integrity,torture,,Sector,Protection,Physical safety and security,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Physical safety and security']"
access to services (basic needs),gbv services,,Sector,Protection,Sexual and gender based violence,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Sexual and gender based violence']"
clúster,violencia basada en género,,Sector,Protection,Sexual and gender based violence,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Sexual and gender based violence']"
gbv & child protection,sexual and gender based violence,,Sector,Protection,Sexual and gender based violence,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Sexual and gender based violence']"
gbv situation analysis,causes and risk factors,,Sector,Protection,Sexual and gender based violence,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Sexual and gender based violence']"
gbv situation analysis,effects and consequences,,Sector,Protection,Sexual and gender based violence,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Sexual and gender based violence']"
gender based violence,barriers to equal participation,,Sector,Protection,Sexual and gender based violence,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Sexual and gender based violence']"
gender based violence,harassment or intimidation,,Sector,Protection,Sexual and gender based violence,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Sexual and gender based violence']"
gender based violence,other,,Sector,Protection,Sexual and gender based violence,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Sexual and gender based violence']"
gender based violence,violence  (including rape),,Sector,Protection,Sexual and gender based violence,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Sexual and gender based violence']"
health,gbv,,Sector,Protection,Sexual and gender based violence,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Sexual and gender based violence']"
population profile,gender issues,,Sector,Protection,Sexual and gender based violence,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Sexual and gender based violence']"
pro vbg,violencia basada en género,,Sector,Protection,Sexual and gender based violence,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Sexual and gender based violence']"
protection,gbv,,Sector,Protection,Sexual and gender based violence,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Sexual and gender based violence']"
protection,sgbv,,Sector,Protection,Sexual and gender based violence,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Sexual and gender based violence']"
protection concerns,sgbv,,Sector,Protection,Sexual and gender based violence,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Sexual and gender based violence']"
salud,violencia y explotación sexual en ssr,,Sector,Protection,Sexual and gender based violence,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Sexual and gender based violence']"
security & protection,gbv,,Sector,Protection,Sexual and gender based violence,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Sexual and gender based violence']"
security & protection,psea,,Sector,Protection,Sexual and gender based violence,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Sexual and gender based violence']"
"social cohesion, gender equality & non-discrimination",sexual violence,,Sector,Protection,Sexual and gender based violence,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Sexual and gender based violence']"
socioeconomic and demographic environment,perception towards gbv,,Sector,Protection,Sexual and gender based violence,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Sexual and gender based violence']"
violations of the right to life and physical and mental integrity,gender-based violence,,Sector,Protection,Sexual and gender based violence,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Sexual and gender based violence']"
violencia sexual y vbg,,,Sector,Protection,Sexual and gender based violence,,,"['first_level_tags->sectors->Protection', 'subsectors->Protection->Sexual and gender based violence']"
"social cohesion, gender equality & non-discrimination",existence of negative stereotyping or stigmatization of specific groups,,Sector,Protection,,,,['first_level_tags->sectors->Protection']
"social cohesion, gender equality & non-discrimination",practices or requirements that have a disproportionate impact on minority groups,,Sector,Protection,,,,['first_level_tags->sectors->Protection']
access to services (basic needs),protection,,Sector,Protection,,,,['first_level_tags->sectors->Protection']
clúster,protección,,Sector,Protection,,,,['first_level_tags->sectors->Protection']
contexto,seguridad y acceso a justicia,,Sector,Protection,,,,['first_level_tags->sectors->Protection']
explotación sexual/trata de personas,,,Sector,Protection,,,,['first_level_tags->sectors->Protection']
freedom from fear and violence,,,Sector,Protection,,,,['first_level_tags->sectors->Protection']
freedom of expression and opinion,other violations,,Sector,Protection,,,,['first_level_tags->sectors->Protection']
freedom of expression and opinion,,,Sector,Protection,,,,['first_level_tags->sectors->Protection']
freedom of movement,forced displacement/ evictions/ demolitions,,Sector,Protection,,,,['first_level_tags->sectors->Protection']
health,protection,,Sector,Protection,,,,['first_level_tags->sectors->Protection']
human trafficing,,,Sector,Protection,,,,['first_level_tags->sectors->Protection']
humanitarian consequences,protection,,Sector,Protection,,,,['first_level_tags->sectors->Protection']
humanitarian needs & gaps,protection,,Sector,Protection,,,,['first_level_tags->sectors->Protection']
